contrato,produto
1.317928257,LIVE
1.329817795,POS
1.81053900,CONTROLE
1.329764006,LIVE
1.321747863,POS
1.337780415,CONTROLE
1.33807396,CONTROLE
1.338073960,CONTROLE
1.337522014,CONTROLE
1.333271977,CONTROLE
1.331438578,POS
1.337719006,CONTROLE
1.337581904,CONTROLE
1.337733116,POS
1.337581788,CONTROLE
1.67133906,CONTROLE
1.335176330,CONTROLE
1.328198772,CONTROLE
1.64607450,CONTROLE
1.78885845,FIXO
1.330943883,POS
1.333265446,CONTROLE
1.337338314,CONTROLE
1.329670238,CONTROLE
7.1846261,POS
1.341056687,CONTROLE
1.334965081,CONTROLE
1.336089148,CONTROLE
1.263476571,CONTROLE
1.319632313,CONTROLE
1.328018516,CONTROLE
1.336810024,CONTROLE
1.324054438,LIVE
1.337986025,CONTROLE
1.265270147,CONTROLE
1.337692528,CONTROLE
1.310140465,CONTROLE
1.261891960,CONTROLE
1.302042117,CONTROLE
1.307061762,CONTROLE
1.85972904,CONTROLE
1.72385698,CONTROLE
1.328565424,CONTROLE
1.330045970,LIVE
1.315028404,CONTROLE
1.338262952,CONTROLE
1.334158440,CONTROLE
1.82638775,CONTROLE
1.337247968,CONTROLE
1.332035147,POS
1.334157952,CONTROLE
1.324117862,CONTROLE
1.333249693,CONTROLE
1.319251263,CONTROLE
1.318121349,CONTROLE
1.335283255,CONTROLE
1.335970595,CONTROLE
1.264939528,CONTROLE
1.333590350,CONTROLE
1.329368692,OI
1.339397863,CONTROLE
1.334054272,POS
1.328889152,CONTROLE
1.331077098,CONTROLE
1.299309874,CONTROLE
1.334561523,CONTROLE
1.335562381,Controle
1.335218634,CONTROLE
1.340207247,CONTROLE
1.71329346,CONTROLE
1.329070978,CONTROLE
1.337803273,POS
7.196572310,CORPORATE
1.84496431,CONTROLE
1.285835314,POS
1.320776580,CONTROLE
1.331299743,POS
1.336986227,CONTROLE
1.331621904,CONTROLE
1.87384191,POS
1.51262266,POS
1.338211293,CONTROLE
1.314525226,CONTROLE
1.332835821,CONTROLE
1.331478404,CONTROLE
1.340731116,CONTROLE
1.339990912,CONTROLE
1.336419575,CONTROLE
1.338848158,CONTROLE
1.334428536,LIVE
1.268250921,CONTROLE
1.337426522,POS
7.1992479,CORPORATE
1.323531783,CONTROLE
1.327996777,LIVE
1.87429019,CONTROLE
1.263546400,CONTROLE
1.333847940,CONTROLE
1.316531365,FIXO
1.333904466,CONTROLE
1.314119292,CONTROLE
1.334240925,CONTROLE
1.336292739,POS
1.329147219,CONTROLE
1.337555987,CONTROLE
1.338225763,POS
1.337949551,CONTROLE
1.331834177,CONTROLE
1.328151244,CONTROLE
1.33959608,POS
1.339596080,CONTROLE
1.338191837,CONTROLE
1.335697666,CONTROLE
1.335263595,CONTROLE
1.334549110,CONTROLE
1.336490706,CONTROLE
1.337824908,CONTROLE
1.261580476,CONTROLE
1.331229646,LIVE
1.334125727,CONTROLE
1.336643351,CONTROLE
1.335045127,CONTROLE
1.340452578,CONTROLE
1.330543884,POS
1.313917666,CONTROLE
1.332299255,CONTROLE
1.338407298,CONTROLE
1.341111602,CONTROLE
1.317223298,LIVE
1.82423656,POS
1.71620202,CONSUMER
1.334691347,CONTROLE
1.328869770,CONTROLE
1.78149642,CONTROLE
1.339619942,CONTROLE
1.77448141,CONTROLE
1.320662115,LIVE
1.328649472,CONTROLE
1.329856720,POS
1.331809790,CONTROLE
1.340368653,CONTROLE
1.314950674,CONTROLE
1.337152201,CONTROLE
1.329779951,POS
1.318640778,CONTROLE
1.262002204,CONTROLE
1.338896739,CONTROLE
1.328853227,CONTROLE
1.332888660,CONTROLE
1.333602613,CONTROLE
1.337390121,CONTROLE
1.326541590,LIVE
1.85218626,POS
1.71432785,CONTROLE
1.71431803,CONTROLE
1.71431032,CONTROLE
1.332687937,CONTROLE
1.296977970,CONTROLE
1.335439437,POS
1.333342390,CONTROLE
1.328498452,POS
1.337993258,CONTROLE
1.332162955,CONTROLE
1.321663889,LIVE
1.333300094,CONTROLE
1.335371969,CONTROLE
1.334304697,CONTROLE
1.339312571,CONTROLE
1.330588093,CONTROLE
1.337395736,POS
1.330008485,LIVE
1.313448330,POS
1.331495027,POS
1.330672240,POS
1.339616808,CONTROLE
1.302218229,CONTROLE
1.335470280,CONTROLE
1.327942750,CONTROLE
1.332226964,CONTROLE
1.333817923,CONTROLE
1.319108708,CONTROLE
1.336307651,CONTROLE
1.333175605,POS
1.335545421,CONTROLE
1.86519558,CONTROLE
1.327970805,LIVE
7.2055250,CORPORATE
1.323723563,CONTROLE
1.333150146,CONTROLE
1.329494231,LIVE
1.322680018,CONTROLE
1.330084749,CONTROLE
1.71159593,CONTROLE
1.331539824,POS
1.319061249,CONSUMER
1.330386080,CONTROLE
1.327227152,CONTROLE
1.332099748,CONTROLE
6.867820,CORPORATE
1.337471147,CONTROLE
1.63711816,POS
1.328929837,CONTROLE
1.314693886,CONTROLE
1.334656462,POS
1.316509052,CONTROLE
1.335074769,CONTROLE
1.340392193,CONTROLE
1.337275093,CONTROLE
1.328224447,CONTROLE
1.328220605,CONTROLE
1.320021520,CONTROLE
1.261306043,LIVE
1.327059905,LIVE
1.313006172,POS
1.337756812,CONTROLE
1.307919424,CONTROLE
1.307922280,CONTROLE
1.307927269,CONTROLE
1.338615567,CONTROLE
1.261468064,LIVE
1.319957232,CONTROLE
1.329333519,CONTROLE
1.319127530,CONTROLE
1.320473408,POS
1.328469251,CONTROLE
1.337291990,POS
1.330494579,CONTROLE
1.332371399,CONTROLE
1.334474800,LIVE
1.322147617,CONTROLE
1.334975603,CONTROLE
1.332496872,CONTROLE
1.332494553,CONTROLE
1.336314141,CONTROLE
1.11044495,CONTROLE
1.338308711,CONTROLE
1.329339883,CONTROLE
1.338640378,CONTROLE
1.332578143,CONTROLE
1.336897656,CONTROLE
7.194974410,CORPORATE
1.335162403,POS
1.337163401,CONTROLE
1.332843035,CONTROLE
1.328962607,CONTROLE
1.335037898,CONTROLE
1.327261408,LIVE
1.333938753,POS
1.309444324,CONTROLE
1.308977701,CONTROLE
1.334452381,CONTROLE
1.335010987,CONTROLE
1.331673150,CONTROLE
1.87068043,CONTROLE
1.335892170,CONTROLE
1.72502925,CONTROLE
1.66117099,CONTROLE
1.82053963,LIVE
1.334566293,LIVE
1.336402461,CONTROLE
7.2034282.10,CORPORATE
7.203428210,CORPORATE
1.340459072,CONTROLE
1.340723190,CONTROLE
1.331978232,CONTROLE
1.323250057,CONTROLE
1.339833689,POS
1.338576946,CONTROLE
1.329197024,CONTROLE
1.43711889,CONTROLE
1.334146540,CONTROLE
1.320865805,POS
1.330725848,CONTROLE
1.337455091,CONTROLE
1.339985800,CONTROLE
1.332387596,CONTROLE
1.333174028,CONTROLE
1.336432618,CONTROLE
1.337583994,CONTROLE
1.319190742,CONTROLE
1.318431494,CONTROLE
1.261437928,CONTROLE
1.47443171,POS
1.330859032,CONTROLE
1.339536214,CONTROLE
1.338583371,CONTROLE
1.315536624,CONTROLE
1.330840506,CONTROLE
1.88751685,CONTROLE
1.338894894,CONTROLE
1.339843109,CONTROLE
1.330126162,CONTROLE
1.73290417,CONTROLE
7.2072813,CORPORATE
1.332049619,CONTROLE
1.336530360,CONTROLE
1.334066140,CONTROLE
1.324689018,CONTROLE
1.261986505,CONTROLE
1.87736050,CONTROLE
1.337694341,POS
1.333135779,POS
1.330263393,CONTROLE
1.331707553,CONTROLE
1.333870664,CONTROLE
1.336440842,CONTROLE
1.337068942,CONTROLE
1.336095050,CONTROLE
1.336102933,CONTROLE
1.332018131,CONTROLE
1.331657773,CONTROLE
1.328963325,POS
1.330721490,CONTROLE
1.316588554,CONTROLE
1.333237857,CONTROLE
1.339103793,CONTROLE
1.339438980,POS
1.337461486,Controle
1.336641147,CONTROLE
1.332593624,CONTROLE
7.2004908,CORPORATE
1.284846889,CONTROLE
1.327781365,CONTROLE
1.332652499,CONTROLE
1.333631852,POS
1.331171999,LIVE
1.330638545,POS
1.337519120,POS
1.336363801,CONTROLE
1.320469373,POS
1.335843188,CONTROLE
1.338982606,LIVE
1.338964039,CONTROLE
1.329276401,OI
1.86285914,LIVE
1.335588444,CONTROLE
1.335016194,CONTROLE
1.83419221,CONTROLE
1.72022692,CONTROLE
1.339453805,CONTROLE
1.338042170,CONTROLE
1.336739851,CONTROLE
1.334336572,POS
1.334740044,CONTROLE
1.331901435,POS
1.318885472,CONTROLE
1.332665011,CONTROLE
1.337435520,CONTROLE
1.337500072,CONTROLE
1.338851374,CONTROLE
7.2035302,CORPORATE
1.314113403,CONTROLE
1.329145764,CONTROLE
1.336977855,CONTROLE
1.336144731,LIVE
1.333212292,CONTROLE
1.325032047,CONTROLE
