contrato,bloqueio
1.88147406,MIGRACAO INDEVIDA
1.318075167,MIGRACAO INDEVIDA
1.327055012,MIGRACAO INDEVIDA
1.327432693,MIGRACAO INDEVIDA
1.314884887,MIGRACAO INDEVIDA
1.84208326,MIGRACAO INDEVIDA
1.58940707,MIGRACAO INDEVIDA
1.74844904,MIGRACAO INDEVIDA
1.74845155,MIGRACAO INDEVIDA
1.77813969,MIGRACAO INDEVIDA
1.88041355,MIGRACAO INDEVIDA
1.88058050,MIGRACAO INDEVIDA
1.327208243,MIGRACAO INDEVIDA
1.330512694,MIGRACAO INDEVIDA
1.317201823,MIGRACAO INDEVIDA
1.313987603,MIGRACAO INDEVIDA
1.265021357,MIGRACAO INDEVIDA
1.58025947,MIGRACAO INDEVIDA
1.326583457,MIGRACAO INDEVIDA
1.80541518,MIGRACAO INDEVIDA
1.316946731,MIGRACAO INDEVIDA
1.262060946,MIGRACAO INDEVIDA
1.318349885,MIGRACAO INDEVIDA
1.262066465,MIGRACAO INDEVIDA
1.73433106,MIGRACAO INDEVIDA
1.338308584,MIGRACAO INDEVIDA
1.261303748,MIGRACAO INDEVIDA
1.52110209,MIGRACAO INDEVIDA
1.52109580,MIGRACAO INDEVIDA
1.263202967,MIGRACAO INDEVIDA
1.324938462,MIGRACAO INDEVIDA
1.324236080,MIGRACAO INDEVIDA
1.83453219,MIGRACAO INDEVIDA
1.83756407,MIGRACAO INDEVIDA
1.71287976,MIGRACAO INDEVIDA
1.261712499,MIGRACAO INDEVIDA
1.324342522,MIGRACAO INDEVIDA
1.82722435,MIGRACAO INDEVIDA
1.315517518,MIGRACAO INDEVIDA
1.313783878,MIGRACAO INDEVIDA
1.313783894,MIGRACAO INDEVIDA
1.305540501,MIGRACAO INDEVIDA
1.320297743,MIGRACAO INDEVIDA
1.328384382,MIGRACAO INDEVIDA
1.320562138,MIGRACAO INDEVIDA
1.304169901,MIGRACAO INDEVIDA
1.262129776,MIGRACAO INDEVIDA
1.74676421,MIGRACAO INDEVIDA
1.306232558,MIGRACAO INDEVIDA
1.67093461,MIGRACAO INDEVIDA
1.320741588,MIGRACAO INDEVIDA
1.278214840,MIGRACAO INDEVIDA
1.84430887,MIGRACAO INDEVIDA
1.76814420,MIGRACAO INDEVIDA
1.261745382,MIGRACAO INDEVIDA
1.67803485,MIGRACAO INDEVIDA
1.293532785,MIGRACAO INDEVIDA
1.85614277,MIGRACAO INDEVIDA
1.333361089,MIGRACAO INDEVIDA
1.308073999,MIGRACAO INDEVIDA
1.42774006,MIGRACAO INDEVIDA
1.330385615,MIGRACAO INDEVIDA
1.321990795,MIGRACAO INDEVIDA
1.317070017,MIGRACAO INDEVIDA
1.313031057,MIGRACAO INDEVIDA
1.320489466,MIGRACAO INDEVIDA
1.320020726,MIGRACAO INDEVIDA
1.320373969,MIGRACAO INDEVIDA
1.330327946,MIGRACAO INDEVIDA
1.77265283,MIGRACAO INDEVIDA
1.316294889,MIGRACAO INDEVIDA
1.316295053,MIGRACAO INDEVIDA
1.64071724,MIGRACAO INDEVIDA
1.263859085,MIGRACAO INDEVIDA
1.325217949,MIGRACAO INDEVIDA
1.318586316,MIGRACAO INDEVIDA
1.322773434,MIGRACAO INDEVIDA
1.309848319,MIGRACAO INDEVIDA
1.309847522,MIGRACAO INDEVIDA
1.320622291,MIGRACAO INDEVIDA
1.330365498,MIGRACAO INDEVIDA
1.72493687,MIGRACAO INDEVIDA
1.306344607,MIGRACAO INDEVIDA
1.324917025,MIGRACAO INDEVIDA
1.314721399,MIGRACAO INDEVIDA
1.318134465,MIGRACAO INDEVIDA
1.325172531,MIGRACAO INDEVIDA
1.282288189,MIGRACAO INDEVIDA
1.86386848,MIGRACAO INDEVIDA
1.326839524,MIGRACAO INDEVIDA
1.322984289,MIGRACAO INDEVIDA
1.327053551,MIGRACAO INDEVIDA
1.318122014,MIGRACAO INDEVIDA
1.264156160,MIGRACAO INDEVIDA
1.85453158,MIGRACAO INDEVIDA
1.320655965,MIGRACAO INDEVIDA
1.263322640,MIGRACAO INDEVIDA
1.310207170,MIGRACAO INDEVIDA
1.69151016,MIGRACAO INDEVIDA
1.335151768,MIGRACAO INDEVIDA
1.265198499,MIGRACAO INDEVIDA
1.332385768,MIGRACAO INDEVIDA
1.320652487,MIGRACAO INDEVIDA
1.77043779,MIGRACAO INDEVIDA
1.67867851,MIGRACAO INDEVIDA
1.68568980,MIGRACAO INDEVIDA
1.324765604,MIGRACAO INDEVIDA
1.276627696,MIGRACAO INDEVIDA
1.77229323,MIGRACAO INDEVIDA
1.291441379,MIGRACAO INDEVIDA
1.329991764,MIGRACAO INDEVIDA
1.78338342,MIGRACAO INDEVIDA
1.334610022,MIGRACAO INDEVIDA
1.84312053,MIGRACAO INDEVIDA
1.317867553,MIGRACAO INDEVIDA
1.321763193,MIGRACAO INDEVIDA
1.74464278,MIGRACAO INDEVIDA
1.80684484,MIGRACAO INDEVIDA
1.313191776,MIGRACAO INDEVIDA
1.321765581,MIGRACAO INDEVIDA
1.326501270,MIGRACAO INDEVIDA
1.326502082,MIGRACAO INDEVIDA
1.316619701,MIGRACAO INDEVIDA
1.315396204,MIGRACAO INDEVIDA
1.87147396,MIGRACAO INDEVIDA
1.313506671,MIGRACAO INDEVIDA
1.335912213,MIGRACAO INDEVIDA
1.328452020,MIGRACAO INDEVIDA
1.320322480,MIGRACAO INDEVIDA
1.81873740,MIGRACAO INDEVIDA
1.87151808,MIGRACAO INDEVIDA
1.317230878,MIGRACAO INDEVIDA
1.313150633,MIGRACAO INDEVIDA
1.331775840,MIGRACAO INDEVIDA
1.315706619,MIGRACAO INDEVIDA
1.76915108,MIGRACAO INDEVIDA
1.88746259,MIGRACAO INDEVIDA
1.331501099,MIGRACAO INDEVIDA
1.77330301,MIGRACAO INDEVIDA
1.77519753,MIGRACAO INDEVIDA
1.316802652,MIGRACAO INDEVIDA
1.262573609,MIGRACAO INDEVIDA
1.71908892,MIGRACAO INDEVIDA
1.317956534,MIGRACAO INDEVIDA
1.313177957,MIGRACAO INDEVIDA
1.316665878,MIGRACAO INDEVIDA
1.86186625,MIGRACAO INDEVIDA
1.81838786,MIGRACAO INDEVIDA
1.331514528,MIGRACAO INDEVIDA
1.74334386,MIGRACAO INDEVIDA
1.292688541,MIGRACAO INDEVIDA
1.314228019,MIGRACAO INDEVIDA
1.81057950,MIGRACAO INDEVIDA
1.331600628,MIGRACAO INDEVIDA
1.328227663,MIGRACAO INDEVIDA
1.313372156,MIGRACAO INDEVIDA
1.325165226,MIGRACAO INDEVIDA
1.86242794,MIGRACAO INDEVIDA
1.80947047,MIGRACAO INDEVIDA
1.264506312,MIGRACAO INDEVIDA
1.80489745,MIGRACAO INDEVIDA
1.80485341,MIGRACAO INDEVIDA
1.284084362,MIGRACAO INDEVIDA
1.316454430,MIGRACAO INDEVIDA
1.316455146,MIGRACAO INDEVIDA
1.315638040,MIGRACAO INDEVIDA
1.319391049,MIGRACAO INDEVIDA
1.324124777,MIGRACAO INDEVIDA
1.263711646,MIGRACAO INDEVIDA
1.320416821,MIGRACAO INDEVIDA
1.297827133,MIGRACAO INDEVIDA
1.320880248,MIGRACAO INDEVIDA
1.296544146,MIGRACAO INDEVIDA
1.309246618,MIGRACAO INDEVIDA
1.317882588,MIGRACAO INDEVIDA
1.325176810,MIGRACAO INDEVIDA
1.78244739,MIGRACAO INDEVIDA
1.329779565,MIGRACAO INDEVIDA
1.316405048,MIGRACAO INDEVIDA
1.272903481,MIGRACAO INDEVIDA
1.327816545,MIGRACAO INDEVIDA
1.327817731,MIGRACAO INDEVIDA
1.327816870,MIGRACAO INDEVIDA
1.327816493,MIGRACAO INDEVIDA
1.69800147,MIGRACAO INDEVIDA
1.264896448,MIGRACAO INDEVIDA
1.262337372,MIGRACAO INDEVIDA
1.85993705,MIGRACAO INDEVIDA
1.84007230,MIGRACAO INDEVIDA
1.75168415,MIGRACAO INDEVIDA
1.75168465,MIGRACAO INDEVIDA
1.84597546,MIGRACAO INDEVIDA
1.321666293,MIGRACAO INDEVIDA
1.63855271,MIGRACAO INDEVIDA
1.262015299,MIGRACAO INDEVIDA
1.306455026,MIGRACAO INDEVIDA
1.321762917,MIGRACAO INDEVIDA
1.332800597,MIGRACAO INDEVIDA
1.333826931,MIGRACAO INDEVIDA
1.301755705,MIGRACAO INDEVIDA
1.67827795,MIGRACAO INDEVIDA
1.83560243,MIGRACAO INDEVIDA
1.328447832,MIGRACAO INDEVIDA
1.314109941,MIGRACAO INDEVIDA
1.67194915,MIGRACAO INDEVIDA
1.329539724,MIGRACAO INDEVIDA
1.295362224,MIGRACAO INDEVIDA
1.86836352,MIGRACAO INDEVIDA
1.326680815,MIGRACAO INDEVIDA
1.325849514,MIGRACAO INDEVIDA
1.324838192,MIGRACAO INDEVIDA
1.324852759,MIGRACAO INDEVIDA
1.303936828,MIGRACAO INDEVIDA
1.81706087,MIGRACAO INDEVIDA
1.78289348,MIGRACAO INDEVIDA
1.78289404,MIGRACAO INDEVIDA
1.265103250,MIGRACAO INDEVIDA
1.86595998,MIGRACAO INDEVIDA
1.82084660,MIGRACAO INDEVIDA
1.265156955,MIGRACAO INDEVIDA
1.277868973,MIGRACAO INDEVIDA
1.66266209,MIGRACAO INDEVIDA
1.66248272,MIGRACAO INDEVIDA
1.330672339,MIGRACAO INDEVIDA
1.78668973,MIGRACAO INDEVIDA
1.313033368,MIGRACAO INDEVIDA
1.320519880,MIGRACAO INDEVIDA
1.262590004,MIGRACAO INDEVIDA
1.86389319,MIGRACAO INDEVIDA
1.329588000,MIGRACAO INDEVIDA
1.55755047,MIGRACAO INDEVIDA
1.55755300,MIGRACAO INDEVIDA
1.55913008,MIGRACAO INDEVIDA
1.84124614,MIGRACAO INDEVIDA
1.80226258,MIGRACAO INDEVIDA
1.332875339,MIGRACAO INDEVIDA
1.334472973,MIGRACAO INDEVIDA
1.51292570,MIGRACAO INDEVIDA
1.319116551,MIGRACAO INDEVIDA
1.329696816,MIGRACAO INDEVIDA
1.329009152,MIGRACAO INDEVIDA
1.317615077,MIGRACAO INDEVIDA
1.326580627,MIGRACAO INDEVIDA
1.300066147,MIGRACAO INDEVIDA
1.318087106,MIGRACAO INDEVIDA
1.288783468,MIGRACAO INDEVIDA
1.283182843,MIGRACAO INDEVIDA
1.313888878,MIGRACAO INDEVIDA
1.317775411,MIGRACAO INDEVIDA
1.323320844,MIGRACAO INDEVIDA
1.317819975,MIGRACAO INDEVIDA
1.84187353,MIGRACAO INDEVIDA
1.81781817,MIGRACAO INDEVIDA
1.66283994,MIGRACAO INDEVIDA
1.60619995,MIGRACAO INDEVIDA
1.334406442,MIGRACAO INDEVIDA
1.326281182,MIGRACAO INDEVIDA
1.263974213,MIGRACAO INDEVIDA
1.330270839,MIGRACAO INDEVIDA
1.323535309,MIGRACAO INDEVIDA
1.332758070,MIGRACAO INDEVIDA
1.322076965,MIGRACAO INDEVIDA
1.313000536,MIGRACAO INDEVIDA
1.78085893,MIGRACAO INDEVIDA
1.315437185,MIGRACAO INDEVIDA
1.324918258,MIGRACAO INDEVIDA
1.64173568,MIGRACAO INDEVIDA
1.74559803,MIGRACAO INDEVIDA
1.74559698,MIGRACAO INDEVIDA
1.322524608,MIGRACAO INDEVIDA
1.315367716,MIGRACAO INDEVIDA
1.320686762,MIGRACAO INDEVIDA
1.316095524,MIGRACAO INDEVIDA
1.263488678,MIGRACAO INDEVIDA
1.310173193,MIGRACAO INDEVIDA
1.263541087,MIGRACAO INDEVIDA
1.315724052,MIGRACAO INDEVIDA
1.313789748,MIGRACAO INDEVIDA
1.320765356,MIGRACAO INDEVIDA
1.313097187,MIGRACAO INDEVIDA
1.41211048,MIGRACAO INDEVIDA
1.334771008,MIGRACAO INDEVIDA
1.308159291,MIGRACAO INDEVIDA
1.79024448,MIGRACAO INDEVIDA
1.76877933,MIGRACAO INDEVIDA
1.323623431,MIGRACAO INDEVIDA
1.322727032,MIGRACAO INDEVIDA
1.324549416,MIGRACAO INDEVIDA
1.75370801,MIGRACAO INDEVIDA
1.80240130,MIGRACAO INDEVIDA
1.317222284,MIGRACAO INDEVIDA
1.337586060,MIGRACAO INDEVIDA
1.334386909,MIGRACAO INDEVIDA
1.55717235,MIGRACAO INDEVIDA
1.85687746,MIGRACAO INDEVIDA
1.85558566,MIGRACAO INDEVIDA
1.326211330,MIGRACAO INDEVIDA
1.77480675,MIGRACAO INDEVIDA
1.73710514,MIGRACAO INDEVIDA
1.330536276,MIGRACAO INDEVIDA
1.315586816,MIGRACAO INDEVIDA
1.315586090,MIGRACAO INDEVIDA
1.283990812,MIGRACAO INDEVIDA
1.82289211,MIGRACAO INDEVIDA
1.314840075,MIGRACAO INDEVIDA
1.261297121,MIGRACAO INDEVIDA
1.66067430,MIGRACAO INDEVIDA
1.316240333,MIGRACAO INDEVIDA
1.330197252,MIGRACAO INDEVIDA
1.334928735,MIGRACAO INDEVIDA
1.77671843,MIGRACAO INDEVIDA
1.265634938,MIGRACAO INDEVIDA
1.328290402,MIGRACAO INDEVIDA
1.314023533,MIGRACAO INDEVIDA
1.314812048,MIGRACAO INDEVIDA
1.314811028,MIGRACAO INDEVIDA
1.323790938,MIGRACAO INDEVIDA
1.298316795,MIGRACAO INDEVIDA
1.326538121,MIGRACAO INDEVIDA
1.82166595,MIGRACAO INDEVIDA
1.318496679,MIGRACAO INDEVIDA
1.76975087,MIGRACAO INDEVIDA
1.334662635,MIGRACAO INDEVIDA
1.71067249,MIGRACAO INDEVIDA
1.321752766,MIGRACAO INDEVIDA
1.81429684,MIGRACAO INDEVIDA
1.329363167,MIGRACAO INDEVIDA
1.262241732,MIGRACAO INDEVIDA
1.333792739,MIGRACAO INDEVIDA
1.313406973,MIGRACAO INDEVIDA
1.71529196,MIGRACAO INDEVIDA
1.314310583,MIGRACAO INDEVIDA
7.168968010,MIGRACAO INDEVIDA
1.264238858,MIGRACAO INDEVIDA
1.83874298,MIGRACAO INDEVIDA
1.325797799,MIGRACAO INDEVIDA
1.338001213,MIGRACAO INDEVIDA
1.308522832,MIGRACAO INDEVIDA
1.329965864,MIGRACAO INDEVIDA
1.316859324,MIGRACAO INDEVIDA
1.65383551,MIGRACAO INDEVIDA
1.86570416,MIGRACAO INDEVIDA
1.296676503,MIGRACAO INDEVIDA
1.62110964,MIGRACAO INDEVIDA
1.84792536,MIGRACAO INDEVIDA
1.85566337,MIGRACAO INDEVIDA
1.85835871,MIGRACAO INDEVIDA
1.335546584,MIGRACAO INDEVIDA
1.317190681,MIGRACAO INDEVIDA
1.317172408,MIGRACAO INDEVIDA
1.65460926,MIGRACAO INDEVIDA
1.315200090,MIGRACAO INDEVIDA
1.263722796,MIGRACAO INDEVIDA
1.63369259,MIGRACAO INDEVIDA
1.298641903,MIGRACAO INDEVIDA
1.316777728,MIGRACAO INDEVIDA
1.328958918,MIGRACAO INDEVIDA
